Series title,1/1/2015,2/1/2015,3/1/2015,4/1/2015,5/1/2015,6/1/2015,7/1/2015,8/1/2015,9/1/2015,10/1/2015,11/1/2015,12/1/2015,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016,10/1/2016,11/1/2016,12/1/2016,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,12/1/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020
Unemployment Rate,5.4,5.4,5.3,5.3,5.2,5.1,5,5,4.9,4.8,4.7,4.7,4.6,4.5,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.3,4.3,4.3,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.1,4.1,4.1,4,4,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.7,3.6,3.6,3.6,3.5,3.4,3.4,3.4,3.3,3.3,3.3,10.1,10,8.3,7.8,6.9
Unemployment ,170489,169066,167368,165276,162973,160648,158465,156362,154122,151757,149441,147201,145021,143114,141555,140521,140109,140165,140395,140726,141124,141198,140734,139845,138844,137853,136986,136216,135400,134695,134356,134313,134458,134702,134866,134645,134030,133137,132067,130848,129565,128062,126208,124424,123049,122232,121893,121807,121655,121183,120506,119764,119049,118445,117555,116059,114166,112443,111898,112013,109061,107394,109315,315798,310148,265266,252206,225295
Employment ,2962280,2965800,2969972,2974548,2978836,2982227,2984790,2986966,2989353,2992627,2996933,3001702,3006161,3009793,3012566,3014940,3017580,3020855,3024916,3029620,3034632,3039575,3044368,3049016,3053498,3057764,3061471,3064767,3067910,3070819,3073260,3074875,3075642,3075870,3075849,3076150,3077302,3079632,3082972,3086407,3089248,3091687,3094189,3097316,3101348,3106182,3111513,3116742,3121324,3124998,3128100,3131352,3135190,3139739,3145585,3151418,3156844,3160658,3160936,3160365,3167463,3172883,3175393,2796592,2804911,2949800,2988683,3021939
Labor Force ,3132769,3134866,3137340,3139824,3141809,3142875,3143255,3143328,3143475,3144384,3146374,3148903,3151182,3152907,3154121,3155461,3157689,3161020,3165311,3170346,3175756,3180773,3185102,3188861,3192342,3195617,3198457,3200983,3203310,3205514,3207616,3209188,3210100,3210572,3210715,3210795,3211332,3212769,3215039,3217255,3218813,3219749,3220397,3221740,3224397,3228414,3233406,3238549,3242979,3246181,3248606,3251116,3254239,3258184,3263140,3267477,3271010,3273101,3272834,3272378,3276524,3280277,3284708,3112390,3115059,3215066,3240889,3247234
